N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr6:32061054	0.73	0.94	0.65	0.52	0.73	0.58	0.79	0.65	0.69	0.5	0.72	0.81	0.56	0.58	0.42	0.62	0.46	0	0.52	0.75	0.64	0.83	0.67	0.68	0.79	0.64	0.47	0.74	0.45	0.57	0.47	0.58	0.35	0.6	0.73	0.79	0.77	0.73	0.64	0.93	0.71	0.82	0.68	0.62	0.59	0.7	0.59	0.8	0.79	0.33	0.69	0.69	0.8	0.6	0.67	0.74	1	0.9	0.86	0.87	0.62	0.62	0.73	0.69	0.59	0.65	0.47	0.62	0.53	0.56	0.86	0.57	0.67	0.52	0.67	0.75	0.71	0.89	0.78	0.57	0.82	0.71	0.55	0.58	0.57	0.68	0.82	0.64	0.78	0.7	1	0.62	0.5	0.7	0.75	0.73	0.6	0.7	0.75	0.83	0.69	0.83	0.58	0.58	0.77	0.62	0.53	0.53	0.52	0.75	0.6	0.77	0.71	0.83	0.88	0.73	0.71	0.56	0.62	0.57	0.55	0.89	0.63	0.5	0.53	0.81	0.68	0.87
chr6:32149363	0.8	1	0	0	0	0.4	0.86	0	0.8	0.88	0	0.78	0	0	0.9	0	0	0	0.71	0.83	0	0	0.75	0	0.91	0.86	0.71	0.83	0	0.75	0	0	0.78	0	0	0.83	0	0	0	0	0	0	0.8	0	0.73	1	0.57	0	0	0	0.67	0.67	0	1	0.57	0.67	0.8	1	0.89	0	1	0.8	1	1	0	0	0.75	0	0	0	0.7	0.92	0	0.67	0	0.62	0	0.8	1	0.75	0	1	0	0.83	0	0.71	0	0.43	0.5	1	0.6	0.83	0.7	0	0.86	0	1	0	1	0	0	0.83	0.8	1	0.86	0.67	0	0	0	1	0	0	0	0	0	0	0	1	0.57	0	0	0	0.85	1	0.78	0.92	0	0
chr6:32461070	0.78	0.5	0.67	0.65	0.71	0.59	0.5	0.59	0.68	0.64	0.72	0.73	0.68	0.73	0.54	0.72	0.59	0.71	0.78	0.61	0.51	0.65	0.71	0.74	0.66	0.53	0.59	0.61	0.68	0.7	0.75	0.76	0.69	0.87	0.77	0.55	0.42	0.63	0.73	0.67	0.62	0.68	0.6	0.62	0.49	0.69	0.74	0.64	0.61	0.75	0.7	0.63	0.79	0.84	0.74	0.76	0.57	0.85	0.69	0.76	0.56	0.63	0.6	0.83	0.63	0.67	0.7	0.48	0.6	0.54	0.62	0.6	0.39	0.57	0.76	0.71	0.69	0.71	0.7	0.58	0.73	0.78	0.68	0.73	0.57	0.61	0.78	0.55	0.69	0.55	0.55	0.76	0.63	0.64	0.64	0.78	0.67	0.84	0.82	0.72	0.68	0.79	0.86	0.71	0.76	0.67	0.61	0.7	0.85	0.45	0.81	0.74	0.41	0.72	0.6	0.82	0.7	0.53	0.79	0.65	0.79	0.56	0.48	0.65	0.6	0.79	0.63	0.67
chr6:32475872	0.82	0.85	0.78	0.36	0.68	0.71	0.68	0.61	0.69	0.58	0.52	0.64	0.7	0.47	0.58	0.79	0.32	0.56	0.77	0.71	0.5	0.7	0.52	0.48	0.48	0.73	0.45	0.68	0.73	0.83	0.58	0.68	0.26	0.57	0.76	0.62	0.41	0.81	0.59	0.62	0.52	0.67	0.64	0.74	0.61	0.77	0.54	0.45	0.67	0.65	0.45	0.39	0.61	0.53	0.86	0.61	0.38	0.76	0.65	0.68	0.68	0.75	0.54	0.64	0.61	0.64	0.68	0.79	0.69	0.67	0.58	0.62	0.56	0.79	0.85	0.81	0.6	0.72	0.48	0.52	0.84	0.74	0.91	0.71	0.67	0.62	0.79	0.6	0.62	0.62	0.92	0.53	0.8	0.53	0.64	0.67	0.56	0.61	0.67	0.79	0.71	0.79	0.47	0.67	0.66	0.8	0.53	0.76	0.88	0.61	0.58	0.69	0.64	0.59	0.83	0.38	0.57	0.69	0.59	0.59	0.38	0.61	0.64	0.67	0.48	0.52	0.58	0.85
chr6:32861367	0.31	0.88	0.5	0.62	0.73	0.62	0.26	0.21	0.55	0.27	0.5	0.27	0.4	0.17	0.62	0.33	0.5	0	0.47	0.77	1	0.31	0.5	0.29	0.12	0.5	0.71	0.71	0.67	0.69	0.56	0.67	0.64	0.33	0.12	0.31	0.54	0.5	0.5	0.36	0.57	0.75	0.44	0.09	0.39	0.47	0.85	0.4	0.22	0.55	0.43	0.84	0.67	0.77	0.2	0.47	0.27	0.82	0.4	0.73	0.47	0.17	0.71	0.35	0.47	0.53	0.55	0.44	0.18	0.38	0.54	0.38	0.78	0.47	0.43	0.92	0.8	0.69	0.72	0.53	0.5	0.35	0.67	0.58	0.44	0.69	0.69	0.57	0.45	0.31	0.61	0.43	0.69	0.38	0.71	0.2	0.29	0.71	0.33	0.67	0.77	0.56	0.25	0.5	0.6	0.5	0.75	0.68	0.45	0.57	0.54	0.5	0.5	0.6	0.67	0.56	0	0.82	0.35	0.81	0.67	0.57	0.33	0.15	0.6	0.72	0.76	0.14
chr6:33175954	0.91	0	0.75	0.69	0.73	0.83	0.89	0	0.62	0.57	0.7	0.75	0	1	0.65	0.64	0.57	0.43	0.62	0.56	0	0.73	0.64	0.69	0.56	1	0.71	0.71	0.78	0.62	0.73	0.64	0.6	0	0.92	0.9	0.71	0.71	0.83	0.56	0.91	1	0.86	0.67	0.7	0.62	0.52	0.8	0.88	0.94	0.67	0.9	1	0.6	0.89	0.53	0.78	0.75	0.67	0.71	0.8	0.62	0.91	0.78	0.64	0.8	0.73	0.83	0.81	0	0.73	0.5	1	0.55	0.89	0.6	1	0.85	1	0.47	0.83	0.75	0.8	0	0	0.94	0.83	0.62	0.67	0.75	0.86	0.47	0.64	0.92	0.58	0.71	0.69	0.62	0.6	0.89	0	0.77	0.85	0.5	0.78	0.68	0.8	0.83	0.83	0.73	0.67	0.55	0.85	0.67	0.88	0.4	1	0.89	0.77	0	0.43	1	0.86	0.82	0.67	0.93	0.65	0.6
chr6:33573822	0.8	0	0	0	0	0	0.7	0	0	1	0.83	0.8	0.83	0.6	1	1	0.71	0	0.62	0.86	0	0	0.67	0	0.88	0	0.75	0	0	0.6	0	0	0	0	0	0.5	0	0.8	0	0	0	0.8	0	0.57	0.44	0	0	0.64	0.8	0	0.4	0.43	0.78	0	0.4	0.62	0	0.5	0	0	0.8	0.4	0.4	0.55	0	1	0.67	0.5	0.6	0	0.8	0.4	0	0.62	0.86	0	0	0.4	0	0.56	0	0	0	0	0	0.83	0	0.6	0	0.31	0.5	0.56	0.67	0.5	0.62	0	0	0.6	0.8	0	0.8	0.6	0.71	0	0.43	0.71	0.75	0.5	0	0.33	0	0	0	0	0	0.8	0	0.8	0.8	1	0.71	0	0.88	0	0	0.83	0.7	0
chr6:34190277	0.82	0.67	0.7	0.58	0.75	0.8	0.5	0.58	0.47	0.33	0.71	0.86	0.56	0.4	0.69	0.5	0.8	0	0.64	0.56	0.8	0.83	0.44	0.78	0.88	0	0.78	0.85	0.82	0.64	0	0.43	0.62	0.88	0	0	0.88	0.92	0.62	0.5	0.88	1	0.85	0.5	0.75	0.57	0.81	0.79	0.67	0.44	0.94	0.64	0.78	0.89	0.93	0.87	0.5	0.69	0.64	0	0.6	0.88	0.33	0.94	0.5	0.86	0.62	0.67	0.67	0.53	0.67	0.82	0.43	0.58	0.7	0.62	0.67	0.8	0.43	0.73	0.42	0.57	0.43	0.82	0	0.62	0.83	0.46	0.5	0.71	0.71	0.79	0.67	0.58	0	0.67	1	0.83	0.67	0	0	0.47	0.6	0.8	0.91	0.93	0.5	0.56	0.67	0.55	0.67	0	0.6	0	0.81	0.89	0	0.83	0.55	0.64	0.53	1	0.76	0.86	0.67	0.61	0.67	0
chr6:34227213	0.8	0	0.88	0.38	1	0	0.5	0.8	0.78	0.78	0.6	0.6	0.8	0.55	0.57	0.8	0.8	0	0.5	0	0	0.5	0.57	0.62	0.86	0.83	0.78	0	0	0.86	0	0	0	0	0	0.8	0	0.71	0	0	0.57	0	0.67	0.73	0.78	0.7	0.86	0.67	1	0.83	0.44	0.75	0.8	0	0.9	0.6	0	0.83	0.71	0.83	0.57	0	0.8	0.5	0.5	0.4	0.67	0.83	0	0	0.6	0.42	0	0.53	0	0.67	0	0	0	0.83	1	0.5	0.83	0.8	1	0.62	0.8	0.67	0	0.6	0	0.5	0	0.5	0.6	0	0.67	1	0.8	0	0	0.71	0.6	0	0.78	0.75	0	0.4	0.7	0.67	0	0.6	0.78	0	0.67	0.2	0	0	0.4	0	0.43	0	1	0.4	0.8	0.92	0.9	0
chr6:34684697	0.44	0.3	0.34	0.35	0.49	0.25	0.5	0.37	0.45	0.51	0.35	0.31	0.61	0.28	0.33	0.44	0.42	0.36	0.15	0.39	0.42	0.32	0.47	0.43	0.54	0.3	0.48	0.33	0.48	0.56	0.29	0.5	0.48	0.31	0.34	0.45	0.46	0.46	0.4	0.4	0.42	0.33	0.42	0.62	0.41	0.43	0.2	0.37	0.45	0.31	0.4	0.16	0.69	0.55	0.35	0.28	0.1	0.28	0.48	0.38	0.42	0.34	0.54	0.18	0.42	0.26	0.43	0.26	0.34	0.29	0.55	0.32	0.64	0.38	0.41	0.59	0.57	0.37	0.23	0.24	0.45	0.38	0.46	0.68	0.29	0.32	0.41	0.46	0.24	0.33	0.35	0.26	0.37	0.57	0.36	0.38	0.4	0.24	0.43	0.41	0.46	0.4	0.18	0.41	0.24	0.48	0.46	0.42	0.2	0.51	0.32	0.2	0.19	0.46	0.52	0.22	0.47	0.65	0.24	0.61	0.29	0.47	0.74	0.34	0.55	0.3	0.53	0.43
chr6:35179450	0	0	0	1	0	0	0.64	0.67	0.57	0	0.89	0.83	0	0.6	0.56	0.88	0	1	0.89	0.8	0	0.83	0.82	1	0	0	0.8	0	0	0.8	0	0	0	0	0	0	0	0	0	1	0.86	1	0.8	0	0.91	1	0.8	0.83	0.83	0.78	0	0.86	1	0.8	0.9	1	0.83	0.86	1	0	0	0.67	0	0.9	0.83	0	0	0.91	0.67	0	0.77	0.83	0	0.83	1	0.62	0	0	0.83	0	0.71	0.8	0	0	0	0.64	1	1	0	0.89	0.75	0.9	0.8	0	0.89	0	0	0.8	0.78	0	0	1	1	0	0.65	0.8	0.57	0	0	0	0.71	0	0	0	0.86	0.83	0	0.8	0	1	0.92	0	0	0.86	0	0.75	0.94	0
chr6:35569222	0.46	0	0	0.5	0.5	0	0.54	0.8	0.73	0	1	0.56	0.62	0	0.6	0	0	0	0.56	0.88	0.71	0	0.5	0.38	0.67	0.6	0.67	0.44	0.8	0.67	0.86	0.75	0.3	0.6	0	0	0.5	0.4	0.4	0.67	0.75	1	0.67	0.3	0.5	0.6	0.73	0.5	0	0.73	0.65	0.6	0.29	0.78	0.73	0.56	0.67	0.45	0.8	0	0.5	1	0	0.5	0.44	0	0.56	0.47	0.67	0.89	0.57	0.57	0	0.68	0.57	0.62	0	0.29	0	0.85	0.33	0.64	0	0	0	0.78	0.58	0.5	0	0.53	0.8	0.67	0.83	0.65	0.2	0	0.8	0.38	0.33	0.67	0	0.92	0.71	0	0.67	0.56	0.4	0.5	0.75	0.5	0.5	0	0	0	0.77	0	0	0	0.52	0.67	0.92	0	0.64	0.6	0.82	1	0.82	0
chr6:37177554	0	0.67	0.62	1	0.42	0.83	0.67	0.75	0.62	0.4	0.57	0.89	0	0.83	0.67	0.88	0.7	0	0.75	1	0.8	1	0.75	0	0.4	0.78	0.6	0.86	0	0.67	1	0	0.5	1	0.83	0.83	1	0	0	0.54	0.33	0	0.83	0.83	0	0.86	0.75	0	0.67	0.7	0.6	0	0.55	0.71	1	0	1	0.4	0.91	0.67	0.88	0.7	0.64	0.67	0.64	0.62	0.6	0	0.6	0	0.44	0.67	0.8	0.8	0	0	0	0.82	0.88	0.86	1	1	0	0.71	0	0.78	0	0.5	0	0.67	0.83	0.6	0.6	0.59	0.8	0.8	0.73	0.86	0.6	0.78	0.83	0.88	0.78	0.5	0.67	0	0.64	0.75	0	0.33	0.8	0	0.89	0.4	1	0.73	0	0.67	0.56	0.62	0.6	0.88	0.6	0.67	0	0.67	0.5	0
chr6:37649948	0.94	0.92	0.6	0.41	0.81	0.4	1	0.35	0.62	0.67	0.7	0.73	0.78	0.69	0.75	0.79	0.58	0.88	0.33	0.55	0.5	0.86	0.79	0.83	0.68	0.62	0.71	0.53	1	0.75	0.75	0.7	0.62	0.71	0.88	0.77	0.82	0.55	0.71	0.69	0.76	0.67	0.76	0.76	0.82	0.78	0.71	0.58	0.94	0.41	0.64	0.7	0.87	1	0.81	0.59	0.92	0.85	0.95	0.7	0.62	0.5	0.89	0.71	0.5	0.71	0.73	0.54	0.58	0.73	0.58	0.79	0.43	0.62	0.92	0.95	0.92	0.64	0.73	0.43	0.71	1	0.58	0.42	0.57	0.93	0.77	0.81	0.54	0.65	0.75	0.52	0.48	0.75	0.64	0.92	0.88	0.83	0.64	0.93	0.56	0.76	0.77	0.37	0.74	0.5	0.9	0.79	0.64	0.79	0.71	0.83	0.71	0.6	0.72	0.92	0.8	0.46	0.52	0.54	0.94	0.56	0.67	0.81	0.6	0.9	0.75	0.89
chr6:38795874	0.25	0	0.25	0.25	0.46	0	0.38	0.21	0.3	0.18	0.35	0.38	0.27	0.14	0.19	0.42	0.47	0	0.55	0.28	0.29	0.29	0.35	0.37	0.4	0.35	0.33	0.17	0.18	0.54	0.5	0.5	0.17	0	0.2	0.06	0.46	0.5	0.5	0.33	0.22	0.22	0.3	0.45	0.2	0.41	0.42	0.06	0.33	0.29	0.33	0.25	0.29	0.25	0.33	0.18	0.23	0.06	0.28	0.14	0.19	0.41	0.24	0.23	0.41	0.33	0.2	0.15	0.33	0.26	0.3	0.35	0.53	0.29	0.23	0.3	0.33	0.41	0.29	0.32	0.23	0.15	0.24	0.58	0.4	0.2	0.21	0.22	0.33	0.58	0.33	0.52	0.29	0.39	0.58	0	0.13	0.5	0.22	0.27	0.43	0.43	0.37	0.29	0.14	0.25	0.55	0.1	0.47	0.2	0.12	0.17	0.43	0	0.24	0.35	0	0.4	0.38	0.27	0.33	0.12	0.22	0.23	0.38	0.26	0.46	0.17
chr6:39102570	0	0	0.75	0.83	0.6	0	0.67	0.75	0.78	0.88	0.8	0.78	0.8	1	0.71	0.5	1	0	0.78	0.71	0	0.91	0.82	0	0.62	0	0.73	0	0.5	0.88	0	0	0.8	0	0	0.89	0	1	0	0.62	0.71	0.86	1	0.62	0.8	0.83	0.79	0.6	0.78	0.79	0.5	0.43	0.71	0.67	0.6	0	0	0.92	0.89	0	0	0.67	0.67	0.88	0.83	0.7	0.44	0.43	0.9	0.82	0.77	0.76	0.57	0.73	0.89	0	0	0.57	0.8	0.88	1	0.54	0	0	0	0.86	0.57	0.86	0.83	0.92	0	0.63	0.4	0.5	0	0	0.89	1	0.83	0	0	1	0.73	0	0.69	0.67	0.6	0.73	0.83	0.78	0.83	0	0.83	0	0.79	0.57	0	0	0.43	0.7	0.8	0	1	0.89	1	0.91	0.83	0
chr6:39843888	0.84	0.88	0.5	0.68	0.5	0.62	0.69	0.6	0.5	0.67	0.64	0.73	0.25	0.78	0.73	0.85	0.47	0	0.38	0.67	0.5	0.39	0.68	0.68	0.73	0.53	0.65	0.76	0.53	0.53	0.73	0.71	0.42	0.64	0.55	1	0.67	0.67	0.71	0.73	0.5	0.52	0.61	0.69	0.52	0.57	0.74	0.72	0.72	0.86	0.61	0.75	0.65	0.45	0.7	0.84	0.59	0.59	0.79	0.92	0.75	0.64	0.55	0.5	0.57	0.52	0.68	0.91	0.68	0.89	0.61	0.41	0.7	0.72	0.67	0.71	0.43	0.67	0.62	0.7	0.72	0.76	0.9	0.57	0.7	0.62	0.72	0.62	0.7	0.55	0.63	0.63	0.45	0.74	0.69	0.71	0.62	0.78	0.6	0.65	0.73	0.76	0.56	0.93	0.7	0.81	0.66	0.65	0.62	0.62	0.69	0.75	0.73	0.5	0.69	0.33	0	0.33	0.62	0.5	0.81	0.5	0.62	0.74	0.48	0.81	0.7	0.85
chr6:40536641	0.5	0.89	0.44	0.5	0.43	0.4	0.47	0.2	0	0.27	0.33	0.46	0.17	0.55	0.55	0.47	0.41	0.57	0.42	0.4	0	0.21	0.29	0.38	0.73	0.5	0.29	0.6	0.27	0.31	0.44	0.17	0.33	0.27	1	0.58	0.7	0.67	0.53	0.75	0.15	0.67	0.53	0.21	0.48	0.29	0.36	0.38	0.53	0.41	0.56	0.55	0.55	0.46	0.36	0.17	0.71	0.5	0.2	0.69	0.32	0.2	0.5	0.45	0.33	0.4	0.5	0.15	0.5	0	0.58	0.45	0.22	0.54	0.56	0.67	0.6	0.5	0.33	0.25	0.79	0.73	0.67	0.38	0.67	0.5	0.58	0.45	0.25	0.53	0.33	0.47	0.38	0.32	0.44	0	0.56	0.7	0.54	0.43	0.3	0.62	0.29	0.57	0.6	0.38	0.38	0.5	0.38	0.5	0.25	0.4	0.5	0.46	0.56	0.29	0	0.62	0.55	0.43	0.38	0	0.27	0.43	0.36	0.79	0.62	0.62
chr6:41334845	0.5	0	0.5	0.33	0.67	0.7	0.33	0.25	0.53	0.44	0.58	0.43	0.43	0.5	0.4	0.86	0.7	0	0.67	0.67	0	0.38	0.4	0.62	0.33	0.33	0.5	1	0	0.5	0.4	0	0.43	0.8	0	0	0	0.12	0.5	0.33	0.33	0.2	0	0.67	0.4	0	0.33	0.4	0.54	0.57	0.43	0.6	0.09	0.11	0.55	0.44	0.5	0.29	0.64	0.4	0.5	0.67	0	0.64	0.33	0.3	0.29	0.4	0	0.33	0.26	0.52	0	0.47	0.7	0	0	0.56	0.27	0.36	0.8	0.5	0	0	0	0.36	0.46	0.6	0.8	0.25	0.4	0.42	0	0.6	0	0	0.83	0.71	0.5	0.6	0	0.67	0.45	0.38	0.31	0.42	0.43	0	0.8	0.5	0.4	0	0.33	0	0.67	0.83	0	0.25	0.67	0.29	0.67	0.6	0.25	0.6	0.2	0.71	0.45	0
chr6:41357038	0.88	1	0.85	0.62	0.56	0.42	0.71	0.56	0.82	0.57	0.58	0.67	0.6	0.67	0.48	0	0.8	0.33	0.71	0.58	1	0.47	0.64	0.62	0.8	0.92	0.26	0.29	0.7	0.79	0.7	0.8	0.67	0	0.5	0.92	0.87	0.82	0.67	0.67	0.7	1	0.73	0.71	0.8	0.62	0.38	0.64	0.75	0.8	0.5	0.5	0.69	1	0.73	0.5	0.8	0.79	0.67	1	0.5	0.8	0.58	0.4	0	0.75	0.5	0.55	0.71	0.86	0.86	0.57	0.89	0.6	0.93	0.88	0	0.78	0.88	0.67	0.89	0.5	0.55	0.5	0.2	0.56	0.86	0.82	0.6	0.89	0.85	0.57	0.75	0.83	0.71	0	0.62	0.42	0.8	0.73	0	0.5	0.69	0.64	0.52	0.67	0.77	0.95	0.65	0.88	0.67	0.42	0	0.6	0.85	0.82	0	0.67	0.5	0.88	0.68	0.62	0.54	0.53	0.81	0.9	0.72	1
chr6:42022726	1	1	0.5	0.62	0.5	0.6	0.4	0	0.5	0.4	0.67	0.7	0.71	0.6	0.44	0.56	0.33	0	0.8	0.83	0	0.36	0.4	0.5	0.58	0.62	0.78	0.67	0.83	0.71	0.83	0	1	0.8	1	0.78	0.38	0	0.43	1	0.5	0	0	0.75	0.73	0.67	0	0	0.75	0.89	0.75	0.83	0.75	0.8	0.9	0.86	0.7	0.9	0.56	0.83	0	0.75	0.67	0.7	0.75	0.7	0.67	0.71	0	1	0.88	0.88	0	0.77	0.83	0.62	0	1	0.4	0.8	0.5	0	0	0	0.4	1	0.83	0.83	0.4	0.43	0.75	0.92	0.83	0	0.6	0.9	0.86	0.62	0.67	0.7	0	1	0.7	0.4	0.75	0.75	0.29	0.88	0.75	1	0	0.4	0.86	0.82	0.5	0.67	0	0	0.5	0.88	0.5	0.71	0.62	1	0.8	0.78	0.59	0.73
chr6:42039546	0	0	1	0.86	0	0	0.64	0	0.86	0	0	0	0	0	0.57	0.5	0.5	0	0.75	0	0	1	0.83	1	0.78	0.8	0.83	0	0	0	0	0	0	0	0	0.8	0	0	1	1	0.67	0	0	0	0.8	0.71	1	0.91	1	0.71	0.88	0	0.83	0.8	0	1	0.86	1	0.78	0.8	0	0.8	0.71	0.8	0	1	0.83	1	0	0.86	0.78	0.89	0	0.82	0	0	0	0	0	0.89	0.75	1	0	0	0	1	1	0.67	0	0	0	0.86	0.86	0.57	0	0	0	0.8	0	0	0.83	1	0.8	0	1	0.83	1	1	0.88	0	1	0	1	0	0.83	0	0	0	0	0	0.8	0	0	0	0.67	0.92	0.58	0
chr6:42136534	0.69	0.67	0.67	0.5	0	0.57	0.73	0.6	0.2	0.78	0.55	0.6	0.5	0.67	0	0.71	0.73	0.8	0.56	0.38	0.43	0.17	0.64	0	0.57	1	0.45	0.57	0	0.56	0	0.4	0.56	0.83	0.8	0.83	0.6	0	0.4	0.45	0.6	0.83	0.78	0.67	0.75	0.78	0.73	0.8	0	0.3	0.75	1	0.86	0.71	0.29	0	0.67	0.44	0.64	0	0.29	0	0.91	0.75	0.57	0.7	1	0.71	0.73	0	0.63	0.71	1	0.53	0.5	0.62	0	0.6	0.57	0.62	0.8	0	0.4	0.57	0	0.71	0.8	0.73	0.6	1	0.55	0.55	0.82	0.92	0.67	0	0	0.83	0.83	0	0.67	0.87	0.65	0.2	0.76	0.6	0.5	0.71	0.5	0.75	0.4	0	0.38	0.6	0.64	0.67	0	0	0.5	0.71	0.29	0.67	0.5	0.38	0.58	0.82	0.47	0
chr6:42881024	0.55	0.09	0.53	0.43	0.23	0.35	0.44	0.44	0.37	0.12	0.33	0.67	0.6	0.29	0.57	0.6	0.38	0.38	0.45	0.38	0.57	0.37	0.46	0.33	0.17	0.29	0.59	0.14	0.73	0.55	0.42	0.67	0.38	0.12	0.2	0.44	0.27	0.6	0.71	0.5	0.48	0.43	0.43	0.36	0.39	0.22	0.45	0.36	0.62	0.31	0.44	0.29	0.59	0.64	0.35	0.36	0.17	0.15	0.41	0.5	0.42	0.56	0.46	0.45	0.08	0.25	0.55	0.18	0.36	0.14	0.24	0.3	0.5	0.5	0.14	0.58	0.38	1	0.3	0.25	0.27	0.44	0.22	0.89	0.38	0.35	0.5	0.59	0.38	0.62	0	0.39	0.44	0.5	0.62	0	0.47	0.12	0.53	0.69	0.2	0.33	0.53	0.57	0.24	0.53	0.47	0.59	0.25	0.38	0.75	0.3	0.75	0.33	0.39	0.33	0	0	0.5	0.36	0.33	0.29	0.37	0.5	0.6	0.38	0.86	0
chr6:43146433	0.62	0	0.57	0.5	1	0	0.5	0.6	0	0.67	0.71	0.71	0	0.67	0.8	0.83	0.8	0	0.82	0	0	0.8	0.67	0.6	0.77	0	1	0.8	0	0.86	0	0	0	0	0.43	0.8	1	0	0	0	0.89	0	0	0.57	0	1	0	0.8	0.8	0.4	0.88	0.83	0.83	0.86	0.8	0	0.4	0.57	0.75	0	0.71	0	0	0.5	1	0.57	0.8	0.71	0.93	0	0.72	0.4	0	0.69	0	0.86	0	0	0	0.67	0.75	0.75	1	0.8	0	0.58	1	0.82	0.71	0.86	1	0.86	0.57	0.5	0.5	0	0	0.6	0	0	0.4	0	0.83	0.57	0.91	1	0.92	0.88	0.71	0.67	0	0	0.83	1	0.89	0	0	0	1	1	0.57	0.83	0.82	0.71	0.56	0.62	0.83	0
chr6:43291064	0.46	0.23	0.33	0.26	0.32	0	0.58	0.62	0.54	0.59	0.32	0.29	0	0.4	0.56	0.5	0.5	0.44	0.32	0.65	0.29	0.45	0.42	0.5	0.55	0.35	0.48	0.26	0.56	0.67	0.27	0.67	0.38	0	0.62	0.62	0.83	0.58	0.25	0.24	0.26	0.3	0.42	0.55	0.54	0.61	0.48	0.29	0.46	0.3	0.21	0.4	0.26	0.48	0.33	0.17	0.3	0.25	0.6	0.39	0.15	0.62	0.29	0.31	0.41	0.38	0.33	0.53	0.64	0.31	0.43	0.35	0.57	0.48	0.41	0.31	0.5	0.5	0.6	0.47	0.55	0.27	0.5	0.4	0.33	0.37	0.45	0.72	0.24	0.39	0.53	0.6	0.43	0.65	0.5	0.64	0.38	0.33	0.53	0.54	0.25	0.3	0.5	0.47	0.26	0.5	0.5	0.47	0.44	0.5	0.25	0.38	0.42	0.45	0.5	0.25	0.33	0.64	0.37	0.44	0.59	0.5	0.5	0.19	0.54	0.58	0.55	0.5
chr6:43402913	0.71	0.73	0.67	0.79	0.78	0.69	0.82	0.53	0.83	0.72	0.7	0.61	0.71	0.75	0.75	0.6	0.72	0.67	0.85	0.68	0.53	0.8	0.69	0.67	0.7	0.71	0.73	0.72	0.72	0.69	0.7	0.73	0.84	0.62	0.74	0.6	0.83	0.79	0.81	0.76	0.66	0.9	0.69	0.73	0.78	0.77	0.83	0.78	0.79	0.65	0.8	0.54	0.65	0.84	0.71	0.75	0.76	0.86	0.8	0.73	0.79	0.63	0.8	0.83	0.71	0.72	0.62	0.65	0.85	0.5	0.61	0.81	0.67	0.84	0.64	0.79	0.92	0.7	0.7	0.6	0.7	0.74	0.71	0.77	0.7	0.75	0.68	0.7	0.68	0.62	0.77	0.63	0.75	0.67	0.55	0.7	0.73	0.71	0.68	0.81	0.85	0.79	0.85	0.86	0.79	0.78	0.71	0.72	0.73	0.75	0.92	0.65	0.86	0.73	0.6	0.77	0.89	0.69	0.77	0.64	0.72	0.73	0.81	0.62	0.75	0.79	0.52	0.73
chr6:43977603	1	0	0.88	0.45	0	0.6	0.67	0.86	0.85	0.4	0.5	0.55	0	0.4	0.7	0	1	0	1	0	0	0	0	0	0.88	0.83	0.92	0.67	0	0	0.5	0	0	0	1	0	0.57	0	0.62	0	0.89	0	0	0.83	0.57	0.78	0	0	0	1	0.8	0.91	0.86	0	0.71	1	1	0.8	0.78	0	0	1	0.83	0.57	1	0.83	0.71	0.64	1	0.67	0.65	0.67	0	0.91	1	0	0	0.71	0.17	0	0.8	0.88	0	0	0	0.75	0.45	0.88	0.6	0.81	0.6	0.58	0.88	0.5	0.6	0	0	0.85	0.89	0	0	0	0.67	0.62	0.82	1	0.4	0.4	0	0.82	0	0	0	0.71	0.57	1	0	0	0.92	0.5	1	0	0.67	0.83	0.75	0.78	0.59	0
chr6:44001791	0.62	1	0.53	0.73	0.86	0.67	0.64	0.36	0.59	0.71	0.8	0.5	0	0.57	0.58	0.8	0.87	0.71	0.88	0.73	0.83	0.86	0.33	0.45	0.4	0.67	0.73	0.53	0.67	0.57	0.77	0.75	0.5	0.6	0.88	0.85	0.7	0.65	0.88	0.7	0.53	0.89	0.88	0.71	0.88	0.74	0.79	0.77	0.43	0.75	0.53	0.93	0.75	0.7	0.85	0.4	0.8	0.83	0.86	0.5	0.94	0.55	0.67	0.76	0.75	0.62	0.67	0.69	0.75	0.8	0.68	0.8	0	0.75	0.67	0.73	0	0.74	0.45	0.87	0.79	0.89	0.83	0.73	0.58	0.65	0.62	0.58	0.83	0.53	0.43	0.78	0.6	0.78	0.62	0.67	0.57	0.6	0.64	0.91	0.83	0.58	0.72	0.89	0.92	0.6	0.6	0.69	0.77	0.54	0.75	0.83	0.55	0.73	0.83	0.67	0	0.67	0.89	0.64	0.75	0.77	0.78	0.5	1	0.88	0.65	0
